1a  2c  1a  2c  1a  2c  1a  2c
1a  2c  1a  2c  1a  2c  1a  2c
9  2c  9  2c  9  2c  9  2c
9  2c  9  2c  9  2c  9  2c
16  16  16  16  16  16  16  16
16  16  16  16  16  16  16  16
9  9  9  9  9  9  9  9
9  9  9  9  9  9  9  9
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
23  23  23  23  23  23  23  23
1a  1a  1a  1a  1a  1a  1a  1a
23  23  23  23  23  23  23  23
1a  1a  1a  1a  1a  1a  1a  1a
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
35  35  35  35  2c  2c  2c  2c
35  35  35  35  2c  2c  2c  2c
35  35  35  35  2c  2c  2c  2c
35  35  35  35  2c  2c  2c  2c
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0
